label,LstartingStim,RstartingStim,LvisualStim,RvisualStim,audioCue,visualCue,probe_loc,thisN,thisTrialN,thisRepN,staircase.thisTrialN,staircase.stepSize,staircase.intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,stim offset,continue_resp.keys,continue_resp.rt,continue_resp.duration,fixation.started,fixation.stopped,greenContrast,redContrast,adjusted_contrast.started,adjusted_contrast.stopped,staircase_response.started,staircase_response.stopped,stair_response,probe_response,staircase.response,prevTrial,isRed,isReversal,cumReversal,contrastArray,contrastAverage,start_trial.started,start_trial.stopped,cue.started,cue.stopped,probe.started,probe.stopped,probe_response.started,probe_response.stopped,subjective_response.started,subjective_response.stopped,subj_response,RedContrast,GreenContrast,vividness_response.started,vividness_response.stopped,vivid_response,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
,,,,,,,,,,,,,,,,,,,,,,space,31.226748540997505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
,,,,,,,,,,,0,0.2,0.5,,,,,38.06777058300213,,,,,,,38.05224104100489,39.05123112502042,0.5,0.5,39.05709416602622,40.80134583302424,40.80413479101844,44.51870283301105,mostlyred,red,1,1000,1,0,0,[],0,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
,,,,,,,,,,,1,0.1,0.3,,,,,44.53467916601221,,,,,,,44.51895179101848,45.518064333009534,0.7,0.3,45.52172287501162,47.26814287502202,47.27082183302264,48.669175458024256,allgreen,green,0,1,0,1,1,[],0,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
,,,,,,,,,,,2,0.1,0.4,,,,,48.68474645802053,,,,,,,48.669445625011576,49.6680480830255,0.6,0.4,49.671572999999626,51.418332375003956,51.421044833026826,52.61869870801456,mostlygreen,green,0,0,0,0,1,[],0,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
,,,,,,,,,,,3,0.1,0.5,,,,,52.63457816600567,,,,,,,52.61894229101017,53.61812995802029,0.5,0.5,53.62176700000418,55.36813041602727,55.37145458301529,56.81870004101074,mostlygreen,green,0,0,0,0,1,[],0,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
,,,,,,,,,,,4,0.1,0.6,,,,,56.83478816601564,,,,,,,56.81894445800572,57.818127000005916,0.4,0.6,57.82171137499972,59.568146583013004,59.57147750002332,60.46867262502201,mostlyred,red,1,0,1,1,2,[],0,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
,,,,,,,,,,,5,0.05,0.5,,,,,60.484618833026616,,,,,,,60.46891566601698,61.4679550830042,0.5,0.5,61.471446000010474,63.21818883300875,63.220522916002665,64.93552133301273,mostlygreen,green,0,1,0,1,3,[],0,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
,,,,,,,,,,,6,0.05,0.55,,,,,64.95145516601042,,,,,,,64.93576754099922,65.93482829100685,0.44999999999999996,0.55,65.93860675001633,67.68494695800473,67.68824279101682,69.15319104102673,mostlyred,red,1,0,1,1,4,[],0,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
,,,,,,,,,,,7,0.05,0.5,,,,,69.16847025000607,,,,,,,69.15349695802433,70.15174916601973,0.5,0.5,70.1566324160085,71.90156562501215,71.90359941602219,73.20225570801995,mostlyred,red,1,1,1,0,4,[],0,,,,,,,,,,,,,,,,,042126mf,001,2026-04-21_10h21.54.799,priming,,2026.1.3,59.990401651211016,2026-04-21 10h21.55.130806 -0700,
