label,LstartingStim,RstartingStim,LvisualStim,RvisualStim,audioCue,visualCue,probe_loc,thisN,thisTrialN,thisRepN,staircase.thisTrialN,staircase.stepSize,staircase.intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,stim offset,continue_resp.keys,continue_resp.rt,continue_resp.duration,fixation.started,fixation.stopped,greenContrast,redContrast,adjusted_contrast.started,adjusted_contrast.stopped,staircase_response.started,staircase_response.stopped,stair_response,probe_response,staircase.response,prevTrial,isRed,isReversal,cumReversal,contrastArray,contrastAverage,start_trial.started,start_trial.stopped,cue.started,cue.stopped,probe.started,probe.stopped,probe_response.started,probe_response.stopped,subjective_response.started,subjective_response.stopped,subj_response,RedContrast,GreenContrast,vividness_response.started,vividness_response.stopped,vivid_response,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.30599999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
,,,,,,,,,,,,,,,,,,,,,,space,21.126407332980307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
,,,,,,,,,,,0,0.2,0.5,,,,,43.274603583995486,,,,,,,43.25876729199081,44.258106499997666,0.5,0.5,44.26385312498314,46.00803412499954,46.00971420897986,54.408874041982926,allred,red,1,1000,1,0,0,[],0,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
,,,,,,,,,,,1,0.1,0.3,,,,,54.424789999990026,,,,,,,54.40913045898196,55.40818408399355,0.7,0.3,55.41312866698718,57.15818766699522,57.15949933399679,58.55882920898148,mostlygreen,green,0,1,0,1,1,[],0,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
,,,,,,,,,,,2,0.1,0.4,,,,,58.574805333977565,,,,,,,58.55909883399727,59.558144666982116,0.6,0.4,59.56176516698906,61.30821724998532,61.309565249976,63.99221016699448,mostlyred,red,1,0,1,1,2,[],0,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
,,,,,,,,,,,3,0.05,0.30000000000000004,,,,,64.0082252919965,,,,,,,63.99245633400278,64.99145412500366,0.7,0.30000000000000004,64.99495579197537,66.74146670897608,66.74308287497843,68.45881199999712,mostlygreen,green,0,1,0,1,3,[],0,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
,,,,,,,,,,,4,0.05,0.35000000000000003,,,,,68.47481849999167,,,,,,,68.45906287498656,69.45814454197534,0.6499999999999999,0.35000000000000003,69.46167999997851,71.20819462498184,71.21001912499196,72.95893220900325,mostlyred,red,1,0,1,1,4,[],0,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
,,,,,,,,,,,5,0.025,0.30000000000000004,,,,,72.97483099999954,,,,,,,72.959199334,73.95815666698036,0.7,0.30000000000000004,73.96167637498002,75.7083299169899,75.70973354199668,76.82574433399714,mostlygreen,green,0,1,0,1,5,[],0,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
,,,,,,,,,,,6,0.025,0.32500000000000007,,,,,76.84149020898622,,,,,,,76.82599933398888,77.82498012497672,0.6749999999999999,0.32500000000000007,77.82851058398956,79.57500266699935,79.57674545899499,80.95900520897703,mostlygreen,green,0,0,0,0,5,[],0,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
,,,,,,,,,,,7,0.025,0.3500000000000001,,,,,80.97492549999151,,,,,,,80.95925991699914,81.95825358398724,0.6499999999999999,0.3500000000000001,81.96183824999025,83.70820024999557,83.7107766669942,85.15902933399775,mostlygreen,green,0,0,0,0,5,[],0,,,,,,,,,,,,,,,,,042126sb,001,2026-04-21_14h14.00.801,priming,,2026.1.3,59.93088470071801,2026-04-21 14h14.01.131467 -0700,
