label,LstartingStim,RstartingStim,LvisualStim,RvisualStim,audioCue,visualCue,probe_loc,thisN,thisTrialN,thisRepN,staircase.thisTrialN,staircase.stepSize,staircase.intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,stim offset,continue_resp.keys,continue_resp.rt,continue_resp.duration,fixation.started,fixation.stopped,greenContrast,redContrast,adjusted_contrast.started,adjusted_contrast.stopped,staircase_response.started,staircase_response.stopped,stair_response,probe_response,staircase.response,prevTrial,isRed,isReversal,cumReversal,contrastArray,contrastAverage,start_trial.started,start_trial.stopped,cue.started,cue.stopped,probe.started,probe.stopped,probe_response.started,probe_response.stopped,subjective_response.started,subjective_response.stopped,subj_response,RedContrast,GreenContrast,vividness_response.started,vividness_response.stopped,vivid_response,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.30899999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
,,,,,,,,,,,,,,,,,,,,,,space,26.46900316600022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
,,,,,,,,,,,0,0.2,0.5,,,,,36.08321995799997,,,,,,,36.06620766700007,37.0666362500001,0.5,0.5,37.07689049999999,38.81657008299999,38.824068875000194,42.850979625000036,mostlygreen,green,0,1000,0,0,0,[],0,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
,,,,,,,,,,,1,0.1,0.7,,,,,42.86655487500002,,,,,,,42.85137120800027,43.849984917000256,0.30000000000000004,0.7,43.85526299999992,45.59995375000017,45.601553917000274,46.80087429200012,allred,red,1,0,1,1,1,[],0,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
,,,,,,,,,,,2,0.1,0.6,,,,,46.81653237499995,,,,,,,46.80115895800009,47.80001633300026,0.4,0.6,47.80426483300016,49.55002195800034,49.55170241700034,51.25086054200028,mostlyred,red,1,1,1,0,1,[],0,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
,,,,,,,,,,,3,0.1,0.5,,,,,51.26659150000023,,,,,,,51.251190792000216,52.24996991700027,0.5,0.5,52.25570441700029,54.00003541700016,54.00165508300006,55.45079758300017,mostlyred,red,1,1,1,0,1,[],0,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
,,,,,,,,,,,4,0.1,0.4,,,,,55.46652341700019,,,,,,,55.45128308300036,56.44997887499994,0.6,0.4,56.45386337500031,58.19997645800004,58.2017070830002,59.334820458000195,mostlygreen,green,0,1,0,1,2,[],0,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
,,,,,,,,,,,5,0.1,0.5,,,,,59.34985195800027,,,,,,,59.33511787499992,60.33330416700028,0.5,0.5,60.33754187500017,62.08333491700023,62.08538479200024,62.73414741700026,mostlygreen,green,0,0,0,0,2,[],0,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
,,,,,,,,,,,6,0.05,0.6,,,,,62.74984587500012,,,,,,,62.7344094580003,63.73328850000007,0.4,0.6,63.73699716700003,65.4834175420001,65.48498054200036,67.23418662500035,mostlyred,red,1,0,1,1,3,[],0,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
,,,,,,,,,,,7,0.05,0.5499999999999999,,,,,67.24984787500034,,,,,,,67.23466212500034,68.23331320800025,0.45000000000000007,0.5499999999999999,68.23839770800032,69.98338287500019,69.98496525000019,70.90078125000036,mostlygreen,green,0,1,0,1,4,[],0,,,,,,,,,,,,,,,,,050626kl,001,2026-05-06_10h20.34.842,priming,,2026.1.3,60.09747822981398,2026-05-06 10h20.35.192291 -0700,
