label,LstartingStim,RstartingStim,LvisualStim,RvisualStim,audioCue,visualCue,probe_loc,thisN,thisTrialN,thisRepN,staircase.thisTrialN,staircase.stepSize,staircase.intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,stim offset,continue_resp.keys,continue_resp.rt,continue_resp.duration,fixation.started,fixation.stopped,greenContrast,redContrast,adjusted_contrast.started,adjusted_contrast.stopped,staircase_response.started,staircase_response.stopped,stair_response,probe_response,staircase.response,prevTrial,isRed,isReversal,cumReversal,contrastArray,contrastAverage,start_trial.started,start_trial.stopped,cue.started,cue.stopped,probe.started,probe.stopped,probe_response.started,probe_response.stopped,subjective_response.started,subjective_response.stopped,subj_response,RedContrast,GreenContrast,vividness_response.started,vividness_response.stopped,vivid_response,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.32399999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,,,,,,,,,,,,space,16.845323833000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,0,0.2,0.5,,,,,26.7386456669999,,,,,,,26.723483708999993,27.722092749999888,0.5,0.5,27.72890904199994,29.47216812499994,29.47757766699999,43.68965445899994,allred,red,1,1000,1,0,0,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,1,0.1,0.3,,,,,43.705478833999905,,,,,,,43.6899243339999,44.68893779199993,0.7,0.3,44.69380958399995,46.438958125,46.440668624999944,63.339622499999905,allgreen,green,0,1,0,1,1,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,2,0.1,0.4,,,,,63.355562291999945,,,,,,,63.339865749999944,64.33896424999989,0.6,0.4,64.34398395899996,66.08895499999994,66.0906773339999,68.08961391699995,mostlyred,red,1,0,1,1,2,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,3,0.05,0.30000000000000004,,,,,68.10552641699996,,,,,,,68.08992991699995,69.08883883399994,0.7,0.30000000000000004,69.09223608399998,70.83904483399999,70.84068287499997,120.68992412499995,mostlygreen,green,0,1,0,1,3,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,4,0.05,0.35000000000000003,,,,,120.70579083399991,,,,,,,120.69017399999996,121.68927612499999,0.6499999999999999,0.35000000000000003,121.69285437499991,123.439204959,123.440583834,126.6064964169999,mostlygreen,green,0,0,0,0,3,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,5,0.05,0.4,,,,,126.62248629199996,,,,,,,126.60674120899989,127.60589129199991,0.6,0.4,127.609448875,129.3558577089999,129.35716720899995,130.25681904199996,allgreen,green,0,0,0,0,3,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,6,0.05,0.45,,,,,130.272438084,,,,,,,130.2570680839999,131.25589191699999,0.55,0.45,131.2594053339999,133.0058029999999,133.00791279199996,136.24033808399997,mostlygreen,green,0,0,0,0,3,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,7,0.05,0.5,,,,,136.25575941699992,,,,,,,136.24059295899997,137.23933595899996,0.5,0.5,137.24276333399996,138.9892561669999,138.99067187499998,142.340055334,mostlyred,red,1,0,1,1,4,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,8,0.05,0.45,,,,,142.35592337499997,,,,,,,142.3403730419999,143.33926741699997,0.55,0.45,143.3427479589999,145.08929016699994,145.09092424999994,147.77336716699995,mostlyred,red,1,1,1,0,4,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,9,0.05,0.4,,,,,147.78932175,,,,,,,147.7736112089999,148.77267533399993,0.6,0.4,148.77613374999999,150.52261462499996,150.5243627089999,152.68997524999997,mostlyred,red,1,1,1,0,4,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,10,0.025,0.35000000000000003,,,,,152.7058119169999,,,,,,,152.690218792,153.6892449589999,0.6499999999999999,0.35000000000000003,153.692598375,155.43937374999996,155.44081674999995,158.489967042,mostlygreen,green,0,1,0,1,5,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
,,,,,,,,,,,11,0.025,0.37500000000000006,,,,,158.50594212499993,,,,,,,158.4902162919999,159.489236334,0.625,0.37500000000000006,159.49266349999994,161.239215167,161.24077658399995,163.139950334,mostlygreen,green,0,0,0,0,5,[],0,,,,,,,,,,,,,,,,,260506bl,001,2026-05-06_16h23.29.259,priming,,2026.1.3,60.01290289414831,2026-05-06 16h23.29.772513 -0700,
