participant,VVIQ,VVIQ2,avg_vividness,congruent,control,incongruent,congruence_effect,subj_prime_all,subj_primed_mix
041726nc,50,95,4.1,0.8888888888888888,1,0.8240740740740741,0.06481481481481477,0.5634743875278396,0.654054054054054
042126mf,31,54,1.9916666666666667,0.9722222222222222,0.9583333333333334,0.9629629629629629,0.0092592592592593,0.5317286652078774,0.7005649717514124
042126sb,59,106,2.8375,0.9814814814814815,0.9583333333333334,0.9444444444444444,0.03703703703703709,0.6079295154185022,0.8700361010830325
042226hb,51,103,3.1958333333333333,0.8611111111111112,1,0.8611111111111112,0,0.5960591133004927,0.7727272727272727
050626kl,51,96,2.966666666666667,0.9444444444444444,1,0.9537037037037037,-0.0092592592592593,0.610705596107056,0.8637992831541219
051226cm,61,123,3.1875,0.9166666666666666,0.9166666666666666,0.8796296296296297,0.03703703703703698,0.5771971496437055,0.8815331010452961
051226kg,79,159,4.945833333333334,0.9537037037037037,1,0.9722222222222222,-0.01851851851851849,0.5682819383259912,0.744927536231884
051226tj,62,111,3.029166666666667,0.9074074074074074,0.9166666666666666,0.8703703703703703,0.03703703703703709,0.686046511627907,0.84
051926db,16,32,1,0.9722222222222222,1,0.9722222222222222,0,0.5466666666666666,0.8759124087591241
051926ep,41,73,2.025,0.7962962962962963,0.7916666666666666,0.8240740740740741,-0.02777777777777779,0.5494252873563218,0.8586572438162544
051926gm,54,108,3.9541666666666666,0.9351851851851852,1,0.9166666666666666,0.0185185185185186,0.5630630630630631,0.7300613496932515
052026gb,71,130,1.3041666666666667,0.8888888888888888,0.9166666666666666,0.8796296296296297,0.00925925925925919,0.5686274509803921,0.8586572438162544
260406oj,50,104,2.9875,0.9907407407407407,1,0.9722222222222222,0.01851851851851849,0.6896551724137931,0.8210862619808307
260506bl,40,78,1.8916666666666666,0.8240740740740741,1,0.8240740740740741,0,0.5409090909090909,0.7986577181208053
260508gh,71,146,2.9833333333333334,0.9814814814814815,1,0.9907407407407407,-0.00925925925925919,0.7512437810945274,0.8441558441558441
