label,LstartingStim,RstartingStim,LvisualStim,RvisualStim,audioCue,visualCue,probe_loc,thisN,thisTrialN,thisRepN,staircase.thisTrialN,staircase.stepSize,staircase.intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,stim offset,continue_resp.keys,continue_resp.rt,continue_resp.duration,fixation.started,fixation.stopped,greenContrast,redContrast,adjusted_contrast.started,adjusted_contrast.stopped,staircase_response.started,staircase_response.stopped,stair_response,probe_response,staircase.response,prevTrial,isRed,isReversal,cumReversal,contrastArray,contrastAverage,start_trial.started,start_trial.stopped,cue.started,cue.stopped,probe.started,probe.stopped,probe_response.started,probe_response.stopped,subjective_response.started,subjective_response.stopped,subj_response,RedContrast,GreenContrast,vividness_response.started,vividness_response.stopped,vivid_response,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.30299999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,,,,,,,,,,,,space,23.860067833040375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,0,0.2,0.5,,,,,46.63563691696618,,,,,,,46.61982583400095,47.61902366700815,0.5,0.5,47.62573958397843,49.369123374985065,49.374238958989736,53.66986654198263,mostlyred,red,1,1000,1,0,0,[],0,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,1,0.1,0.3,,,,,53.685514500015415,,,,,,,53.67011674999958,54.66902370902244,0.7,0.3,54.672697375004645,56.41893166699447,56.42066587501904,58.11989312496735,allgreen,green,0,1,0,1,1,[],0,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,2,0.1,0.4,,,,,58.13561558397487,,,,,,,58.12014395900769,59.11899954196997,0.6,0.4,59.1225851670024,60.86903991701547,60.8706397920032,63.03629737498704,mostlygreen,green,0,0,0,0,1,[],0,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,3,0.1,0.5,,,,,63.052384083974175,,,,,,,63.036544499977026,64.03565766697284,0.5,0.5,64.03916608396685,65.78568849997828,65.78738287498709,66.9199288340169,mostlygreen,green,0,0,0,0,1,[],0,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,4,0.1,0.6,,,,,66.93552583397832,,,,,,,66.920183292008,67.9189728749916,0.4,0.6,67.92257295898162,69.66901358397445,69.67097737500444,70.31983695900999,mostlyred,red,1,0,1,1,2,[],0,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,5,0.05,0.5,,,,,70.3355737500242,,,,,,,70.32008237502305,71.31907824997324,0.5,0.5,71.32257274998119,73.0691678749863,73.07045212498633,75.05316379200667,mostlygreen,green,0,1,0,1,3,[],0,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,6,0.05,0.55,,,,,75.06902504200116,,,,,,,75.05340608401457,76.05249204201391,0.44999999999999996,0.55,76.05595662497217,77.80246729200007,77.80414174997713,78.45315958402352,mostlyred,red,1,0,1,1,4,[],0,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,7,0.025,0.5,,,,,78.46905504202005,,,,,,,78.45340187498368,79.45248520898167,0.5,0.5,79.45598675002111,81.20244174997788,81.20374999998603,82.53654454200296,mostlygreen,green,0,1,0,1,5,[],0,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
,,,,,,,,,,,8,0.025,0.525,,,,,82.55236470897216,,,,,,,82.53681933396729,83.53575070900843,0.475,0.525,83.53925204201369,85.28585020900937,85.2877284999704,86.56993125000736,mostlyred,red,1,0,1,1,6,[0.525],0.525,,,,,,,,,,,,,,,,,051926ep,001,2026-05-19_14h17.57.365,priming,,2026.1.3,59.94300918620283,2026-05-19 14h17.57.679303 -0700,
