label,LstartingStim,RstartingStim,LvisualStim,RvisualStim,audioCue,visualCue,probe_loc,thisN,thisTrialN,thisRepN,staircase.thisTrialN,staircase.stepSize,staircase.intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,stim offset,continue_resp.keys,continue_resp.rt,continue_resp.duration,fixation.started,fixation.stopped,greenContrast,redContrast,adjusted_contrast.started,adjusted_contrast.stopped,staircase_response.started,staircase_response.stopped,stair_response,probe_response,staircase.response,prevTrial,isRed,isReversal,cumReversal,contrastArray,contrastAverage,start_trial.started,start_trial.stopped,cue.started,cue.stopped,probe.started,probe.stopped,probe_response.started,probe_response.stopped,subjective_response.started,subjective_response.stopped,subj_response,RedContrast,GreenContrast,vividness_response.started,vividness_response.stopped,vivid_response,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
,,,,,,,,,,,,,,,,,,,,,,space,4.376169542000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
,,,,,,,,,,,0,0.2,0.5,,,,,32.266897874999984,,,,,,,32.251477083,33.250320708000004,0.5,0.5,33.26823483299998,35.01706695799999,35.02600949999999,39.91805383299999,allgreen,green,0,1000,0,0,0,[],0,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
,,,,,,,,,,,1,0.1,0.7,,,,,39.93370725,,,,,,,39.91856620799999,40.917334541,0.30000000000000004,0.7,40.921899916,42.66718420799998,42.668934207999996,44.834589540999986,allred,red,1,0,1,1,1,[],0,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
,,,,,,,,,,,2,0.1,0.6,,,,,44.850328665999996,,,,,,,44.834886041000004,45.83371733299998,0.4,0.6,45.838653540999985,47.58396033299999,47.585907625000004,49.701142540999996,allred,red,1,1,1,0,1,[],0,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
,,,,,,,,,,,3,0.1,0.5,,,,,49.71701525,,,,,,,49.70155,50.700510665999985,0.5,0.5,50.705043665999995,52.45046170799998,52.45260583299998,54.71786045799999,mostlyred,red,1,1,1,0,1,[],0,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
,,,,,,,,,,,4,0.1,0.4,,,,,54.733725540999984,,,,,,,54.718167333,55.717117833,0.6,0.4,55.722303208,57.46709566599998,57.46899045799998,58.40123383299999,allgreen,green,0,1,0,1,2,[],0,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
,,,,,,,,,,,5,0.1,0.5,,,,,58.41710379099999,,,,,,,58.401508665999984,59.400467040999985,0.5,0.5,59.40398049999999,61.15048895799998,61.15260779099998,62.801319207999995,mostlygreen,green,0,0,0,0,2,[],0,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
,,,,,,,,,,,6,0.05,0.6,,,,,62.81716983299998,,,,,,,62.80170529099999,63.80041312499998,0.4,0.6,63.804186208000004,65.550680583,65.55121345799998,67.83461591599999,mostlyred,red,1,0,1,1,3,[],0,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
,,,,,,,,,,,7,0.05,0.5499999999999999,,,,,67.85040858299999,,,,,,,67.834943541,68.83379975,0.45000000000000007,0.5499999999999999,68.83761725,70.58383749999999,70.58562091599998,73.551356583,mostlyred,red,1,1,1,0,3,[],0,,,,,,,,,,,,,,,,,260406oj,001,2026-05-06_14h33.48.294,priming,,2026.1.3,60.0069756909023,2026-05-06 14h33.48.732247 -0700,
