label,LstartingStim,RstartingStim,LvisualStim,RvisualStim,audioCue,visualCue,probe_loc,thisN,thisTrialN,thisRepN,staircase.thisTrialN,staircase.stepSize,staircase.intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,stim offset,continue_resp.keys,continue_resp.rt,continue_resp.duration,fixation.started,fixation.stopped,greenContrast,redContrast,adjusted_contrast.started,adjusted_contrast.stopped,staircase_response.started,staircase_response.stopped,stair_response,probe_response,staircase.response,prevTrial,isRed,isReversal,cumReversal,contrastArray,contrastAverage,start_trial.started,start_trial.stopped,cue.started,cue.stopped,probe.started,probe.stopped,probe_response.started,probe_response.stopped,subjective_response.started,subjective_response.stopped,subj_response,RedContrast,GreenContrast,vividness_response.started,vividness_response.stopped,vivid_response,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.34199999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,,,,,,,,,,,,space,28.050910541000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,0,0.2,0.5,,,,,41.70242787500001,,,,,,,41.68440870899997,42.68585629200004,0.5,0.5,42.69538770899999,44.43605670900001,44.44138387500004,49.33813029199996,mostlyred,red,1,1000,1,0,0,[],0,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,1,0.1,0.3,,,,,49.35254154200004,,,,,,,49.33848870899999,50.33595170900003,0.7,0.3,50.34078233399998,52.086032124999974,52.087750750000055,98.07054433400003,mostlygreen,green,0,1,0,1,1,[],0,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,2,0.1,0.4,,,,,98.08610283400003,,,,,,,98.07124712500001,99.06956458399998,0.6,0.4,99.07674483400001,100.81950933400003,100.82152104199997,103.48688166700003,mostlyred,red,1,0,1,1,2,[],0,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,3,0.05,0.30000000000000004,,,,,103.50277400000004,,,,,,,103.48713920900002,104.48617320899996,0.7,0.30000000000000004,104.490530584,106.23616870900003,106.23803137499999,107.50365191699996,mostlygreen,green,0,1,0,1,3,[],0,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,4,0.05,0.35000000000000003,,,,,107.51944958399997,,,,,,,107.50403866700003,108.50284891700005,0.6499999999999999,0.35000000000000003,108.50719841700004,110.252848459,110.25483237499998,111.88687479199996,mostlyred,red,1,0,1,1,4,[],0,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,5,0.025,0.30000000000000004,,,,,111.90276212499998,,,,,,,111.88714000000004,112.886163334,0.7,0.30000000000000004,112.88979629200003,114.63616170900002,114.63805345900005,115.88693566699999,mostlygreen,green,0,1,0,1,5,[],0,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,6,0.025,0.32500000000000007,,,,,115.90275629200005,,,,,,,115.88721224999995,116.88623508399996,0.6749999999999999,0.32500000000000007,116.89025483399996,118.63620745900005,118.63809579199994,120.18691370900001,mostlygreen,green,0,0,0,0,5,[],0,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,7,0.025,0.3500000000000001,,,,,120.20273895900004,,,,,,,120.18727983400004,121.18614108400004,0.6499999999999999,0.3500000000000001,121.19013912499997,122.93621204199997,122.93819141699998,123.82041720899997,mostlyred,red,1,0,1,1,6,[0.3500000000000001],0.3500000000000001,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,8,0.025,0.32500000000000007,,,,,123.83621441699995,,,,,,,123.82072174999996,124.81963804199995,0.6749999999999999,0.32500000000000007,124.82320404200004,126.56967150000003,126.57144708400006,129.13703729199995,mostlygreen,green,0,1,0,1,7,"[0.3500000000000001, 0.32500000000000007]",0.3375000000000001,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,9,0.025,0.3500000000000001,,,,,129.15290204200005,,,,,,,129.13732949999996,130.13629445900006,0.6499999999999999,0.3500000000000001,130.14073062499995,131.88628595900002,131.88807191700005,132.73705837499995,mostlyred,red,1,0,1,1,8,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001]",0.3416666666666668,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,10,0.025,0.32500000000000007,,,,,132.752867917,,,,,,,132.73739795899996,133.73628962500004,0.6749999999999999,0.32500000000000007,133.740174584,135.48630054199998,135.48808654200002,137.02032604199997,mostlygreen,green,0,1,0,1,9,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007]",0.33750000000000013,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,11,0.025,0.3500000000000001,,,,,137.03631462500005,,,,,,,137.02061658399998,138.01968029199998,0.6499999999999999,0.3500000000000001,138.02346954200004,139.7696145,139.77179483400005,141.20368595900004,mostlygreen,green,0,0,0,0,9,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007]",0.33750000000000013,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,12,0.025,0.3750000000000001,,,,,141.219546209,,,,,,,141.20421620900004,142.20300870899996,0.6249999999999999,0.3750000000000001,142.206948667,143.95306337500006,143.95493887500004,145.03711654200004,mostlygreen,green,0,0,0,0,9,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007]",0.33750000000000013,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,13,0.025,0.40000000000000013,,,,,145.052920417,,,,,,,145.037520459,146.036361209,0.5999999999999999,0.40000000000000013,146.04172833400003,147.78629358399996,147.78808883399995,148.437007709,mostlyred,red,1,0,1,1,10,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013]",0.35000000000000014,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,14,0.025,0.3750000000000001,,,,,148.45288445899996,,,,,,,148.437258584,149.436302167,0.6249999999999999,0.3750000000000001,149.43989420900004,151.18635949999998,151.18843787499998,152.80384533400002,mostlyred,red,1,1,1,0,10,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013]",0.35000000000000014,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,15,0.025,0.3500000000000001,,,,,152.819752334,,,,,,,152.804110959,153.803093084,0.6499999999999999,0.3500000000000001,153.80671174999998,155.55306441699997,155.55486241699998,156.07064270900003,mostlyred,red,1,1,1,0,10,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013]",0.35000000000000014,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,16,0.025,0.32500000000000007,,,,,156.086443917,,,,,,,156.0708935,157.06984645900002,0.6749999999999999,0.32500000000000007,157.07401520899998,158.819756375,158.821548292,160.50452766700005,mostlygreen,green,0,1,0,1,11,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013, 0.32500000000000007]",0.34583333333333344,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,17,0.025,0.3500000000000001,,,,,160.51975412499996,,,,,,,160.504898625,161.50313191700002,0.6499999999999999,0.3500000000000001,161.50761958400005,163.25313125000002,163.25497054200002,165.18714895899996,mostlyred,red,1,0,1,1,12,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013, 0.32500000000000007, 0.3500000000000001]",0.34642857142857153,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,18,0.025,0.32500000000000007,,,,,165.20299524999996,,,,,,,165.18745479200004,166.18643225000005,0.6749999999999999,0.32500000000000007,166.19034970899997,167.93643133399996,167.93807687499998,168.97058937500003,mostlygreen,green,0,1,0,1,13,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007]",0.3437500000000001,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,19,0.025,0.3500000000000001,,,,,168.98633829200003,,,,,,,168.97091491699996,169.969752792,0.6499999999999999,0.3500000000000001,169.97333712500006,171.719813917,171.721703542,173.904458792,mostlyred,red,1,0,1,1,14,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.3500000000000001]",0.34444444444444455,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,20,0.025,0.32500000000000007,,,,,173.91968979199999,,,,,,,173.904861084,174.90308670900004,0.6749999999999999,0.32500000000000007,174.906714417,176.65311099999997,176.65497225000001,177.353774209,mostlygreen,green,0,1,0,1,15,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007]",0.34250000000000014,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,21,0.025,0.3500000000000001,,,,,177.36966099999995,,,,,,,177.35409225,178.35312420900004,0.6499999999999999,0.3500000000000001,178.35883070900002,180.10309333399994,180.10501179200003,181.7539103339999,mostlyred,red,1,0,1,1,16,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.3500000000000001]",0.3431818181818183,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
,,,,,,,,,,,22,0.025,0.32500000000000007,,,,,181.7698711669999,,,,,,,181.75423016699995,182.75330737499996,0.6749999999999999,0.32500000000000007,182.75681970900007,184.5032917919999,184.50521154199998,186.9705675419999,mostlyred,red,1,1,1,0,16,"[0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.40000000000000013, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.3500000000000001, 0.32500000000000007, 0.3500000000000001]",0.3431818181818183,,,,,,,,,,,,,,,,,260508gh,001,2026-05-08_14h18.37.454,priming,,2026.1.3,59.89648402126582,2026-05-08 14h18.37.787876 -0700,
